school,ipeds_name,academic_year,total_undergrad,total_grad,retention_rate,tuition_instate,tuition_oos,on_campus_fh_total,total_applicants,total_admitted,ftfy_enrolled,avg_aid_package,pct_need_met,admission_rate,yield_rate
Alabama,The University of Alabama,2024,34389,31038,0.89,12180,34172,15016,56795,43531,7973,,,0.7665,0.1832
Auburn,Auburn University,2024,27907,25204,0.95,12890,34922,16626,55056,25284,6081,,,0.4592,0.2405
ArizonaState,Arizona State University Campus Immersion,2024,65450,60459,0.87,12223,33139,16712,70928,63756,13981,,,0.8989,0.2193
Arizona,University of Arizona,2024,44848,35623,0.83,13573,39903,16746,58339,50252,8808,,,0.8614,0.1753
Arkansas,University of Arkansas,2024,28859,26337,0.86,10104,29966,14244,30555,22703,6567,,,0.743,0.2893
UCBerkeley,University of California-Berkeley,2024,33070,31576,0.97,15377,47265,23750,124242,13639,6232,,,0.1098,0.4569
UCLA,University of California-Los Angeles,2024,33475,32972,0.97,14233,46121,18369,146272,13114,6603,,,0.0897,0.5035
USC,University of Southern California,2024,20630,20183,0.96,71647,71647,19931,82027,8050,3487,,,0.0981,0.4332
Colorado,University of Colorado Boulder,2024,32244,28916,0.9,15214,42970,18468,67286,52539,7351,,,0.7808,0.1399
UCF,University of Central Florida,2024,59552,42360,0.92,6368,22467,12452,61456,24653,6967,,,0.4011,0.2826
FloridaState,Florida State University,2024,32720,29414,0.96,6517,21683,13474,78272,18954,5764,,,0.2422,0.3041
Florida,University of Florida,2024,36573,33187,0.98,6381,28659,12120,73557,17804,7475,,,0.242,0.4198
Miami,University of Miami,2024,13250,12706,0.94,62616,62616,23790,53954,10195,2467,,,0.189,0.242
GeorgiaTech,Georgia Institute of Technology-Main Campus,2024,20591,17712,0.98,12058,34484,13608,59789,8413,3828,,,0.1407,0.455
Georgia,University of Georgia,2024,32399,30766,0.94,11450,31688,11672,42732,16108,6149,,,0.377,0.3817
Illinois,University of Illinois Urbana-Champaign,2024,37140,36104,0.95,18267,40096,14522,73742,31247,9004,,,0.4237,0.2882
Northwestern,Northwestern University,2024,9399,9020,0.98,68322,68322,21126,49474,3806,2105,,,0.0769,0.5531
Indiana,Indiana University-Bloomington,2024,38093,37127,0.91,12144,41891,13984,67658,52918,9590,,,0.7821,0.1812
NotreDame,University of Notre Dame,2024,8880,8866,0.99,65025,65025,17900,29942,3374,2082,,,0.1127,0.6171
IowaState,Iowa State University,2024,25628,24445,0.88,10787,28881,10808,23095,20475,5887,,,0.8866,0.2875
Iowa,University of Iowa,2024,22738,21255,0.9,11283,33371,12920,27770,23222,5187,,,0.8362,0.2234
Kansas,University of Kansas,2024,22085,19638,0.86,12102,30432,11358,22363,20905,5269,,,0.9348,0.252
Kentucky,University of Kentucky,2024,25534,23390,0.87,13502,34140,16016,31517,29293,6438,,,0.9294,0.2198
